timestamp,open,high,low,close,volume
2015-06-09,64.0,64.26,62.8,63.71,4399900
2015-06-10,64.28,64.28,62.5,63.8,3353500
2015-06-11,63.3,63.98,62.01,62.01,4253300
2015-06-15,62.48,62.64,61.05,62.31,4558900
2015-06-16,62.7,62.7,61.12,61.2,4738200
2015-06-17,61.5,61.77,60.09,61.31,4790700
2015-06-18,61.64,61.96,60.7,61.96,2814500
2015-06-19,61.93,62.49,61.56,62.49,2528800
2015-06-22,62.39,63.2,62.2,62.91,1731300
2015-06-23,63.2,64.23,62.45,63.2,4696900
2015-06-24,63.98,64.0,62.62,64.0,4305500
2015-06-25,63.66,63.66,62.7,62.8,3966200
2015-06-26,63.1,63.5,62.8,63.45,2723100
2015-06-29,62.83,64.15,62.29,63.78,4929700
2015-06-30,63.99,64.1,62.7,63.0,7878200
2015-07-01,63.0,63.88,62.9,63.2,4343900
2015-07-02,63.55,64.2,63.32,63.37,4909400
2015-07-03,63.6,64.2,63.35,64.1,3774500
2015-07-06,64.05,67.5,63.79,67.41,9728900
2015-07-07,67.4,69.42,66.82,68.15,12983800
2015-07-08,68.25,68.69,66.07,68.2,14190800
2015-07-09,68.34,70.35,68.0,70.0,8000200
2015-07-10,70.65,73.37,70.4,72.3,12546300
2015-07-13,72.35,74.5,72.35,73.45,8368800
2015-07-14,72.6,73.19,70.79,70.79,5457200
2015-07-15,70.75,72.45,69.41,70.24,7185300
2015-07-16,70.09,72.59,69.8,72.06,6922000
2015-07-17,72.39,72.39,70.1,71.1,5876900
2015-07-20,70.31,73.69,70.31,72.97,7641200
2015-07-21,72.96,73.95,71.8,72.4,8493100
2015-07-22,72.21,73.1,71.51,72.39,10837200
2015-07-23,72.05,72.29,70.02,70.1,6203000
2015-07-24,70.2,70.7,66.0,66.7,13921300
2015-07-27,66.3,67.74,66.15,66.21,7086300
2015-07-28,66.07,66.71,65.33,65.73,5840700
2015-07-29,66.47,66.58,65.85,66.0,2944500
2015-07-30,66.07,67.77,65.95,67.77,5444300
2015-07-31,67.2,71.6,66.72,71.2,10082000
2015-08-03,70.98,73.95,70.78,73.49,7153700
2015-08-04,73.49,73.98,71.4,71.95,5670000
2015-08-05,71.9,73.06,71.22,73.06,3510300
2015-08-06,73.03,73.95,72.71,73.05,5499800
2015-08-07,73.3,73.74,72.87,73.01,3355000
2015-08-10,73.09,74.0,72.87,73.21,5104700
2015-08-11,73.48,73.72,72.59,73.49,3898700
2015-08-12,73.47,73.88,72.55,73.88,2546600
2015-08-13,73.88,74.09,71.3,72.52,4447400
2015-08-14,72.27,72.3,69.7,69.73,6803900
2015-08-17,69.84,69.84,67.1,67.96,10390900
2015-08-18,67.97,68.17,67.05,67.05,3812400
2015-08-19,67.2,67.49,65.2,65.69,6936900
2015-08-20,66.09,66.5,65.05,65.48,8518600
2015-08-21,65.25,66.43,64.03,65.5,13653900
2015-08-24,63.3,64.84,63.0,63.8,13700500
2015-08-25,64.03,65.0,63.24,63.24,8265500
2015-08-26,63.66,65.31,62.08,64.61,11561000
2015-08-27,65.49,65.92,63.25,63.39,10157700
2015-08-28,63.89,65.44,63.52,64.1,12035500
2015-08-31,64.64,66.07,63.82,65.0,12151100
2015-09-01,65.33,66.82,65.22,66.49,14203400
2015-09-02,66.2,67.03,65.9,65.9,5816600
2015-09-03,66.11,66.54,64.39,65.2,7701800
2015-09-04,65.48,65.58,63.85,64.02,6111500
2015-09-07,64.02,64.6,62.85,63.05,6994300
2015-09-08,63.35,63.84,62.9,63.02,5494100
2015-09-09,63.35,63.37,62.35,62.91,5163900
2015-09-10,63.06,64.8,62.8,64.5,9007200
2015-09-11,64.69,65.12,64.1,64.85,3913200
2015-09-14,65.0,65.0,63.25,63.5,8237600
2015-09-15,63.51,63.64,62.13,62.3,7349800
2015-09-16,62.31,62.8,60.27,60.78,19411400
2015-09-17,61.17,61.78,60.31,61.05,7943600
2015-09-18,61.2,61.91,60.4,61.91,6843700
2015-09-21,61.12,61.9,60.81,60.81,3466200
2015-09-22,61.32,61.32,60.05,60.65,4617400
2015-09-23,60.76,60.76,58.12,59.15,10504100
2015-09-24,59.45,59.45,56.25,57.51,10271400
2015-09-25,57.52,58.12,55.56,55.9,12234500
2015-09-28,55.91,56.9,53.12,53.5,11171800
2015-09-29,53.3,55.04,52.32,54.77,7005700
2015-09-30,54.89,58.0,54.8,57.97,15460700
2015-10-01,58.07,59.24,56.74,56.92,10246500
2015-10-02,57.18,57.96,56.16,57.44,4777500
2015-10-05,57.81,58.77,57.72,58.55,4459300
2015-10-06,58.67,60.43,58.31,59.23,11229300
2015-10-07,59.49,60.03,58.8,59.66,6311400
2015-10-08,59.4,59.79,58.56,59.19,3903100
2015-10-09,59.19,59.65,58.58,59.1,4614000
2015-10-12,58.94,59.46,57.55,57.55,4853700
2015-10-13,57.55,59.0,57.08,59.0,4956000
2015-10-14,59.08,59.29,58.23,59.0,3142000
2015-10-15,58.4,58.61,56.86,57.96,11606400
2015-10-16,58.2,58.72,56.06,56.06,9320700
2015-10-19,56.02,57.18,56.02,56.8,5848500
2015-10-20,57.07,57.35,55.01,56.0,11313800
2015-10-21,55.6,56.12,54.36,54.92,8107700
2015-10-22,54.52,55.76,53.53,54.5,10530000
2015-10-23,54.65,55.9,54.0,55.9,8527000
2015-10-26,56.1,56.2,54.08,54.4,6173200
2015-10-27,54.67,54.67,52.81,54.44,12738300
2015-10-28,54.36,54.36,53.15,53.89,5217500
2015-10-29,53.62,53.82,52.61,52.7,6046000
2015-10-30,52.7,52.95,51.4,51.4,7033900
2015-11-02,51.03,52.19,50.3,51.38,6985900
2015-11-03,51.64,54.42,51.32,53.03,19377000
2015-11-05,53.79,54.74,52.2,52.2,9946100
2015-11-06,52.46,54.1,51.25,52.22,14786300
2015-11-09,52.25,52.8,51.51,52.09,7076900
2015-11-10,52.0,52.05,50.92,51.59,6263800
2015-11-11,51.88,52.19,51.25,51.4,5464300
2015-11-12,51.3,52.5,51.01,51.2,8329500
2015-11-13,51.34,51.34,50.72,50.81,3884600
2015-11-16,50.86,51.45,50.61,51.05,6885100
2015-11-17,51.11,52.84,51.02,52.6,8184600
2015-11-18,52.7,53.73,51.85,53.01,10115100
2015-11-19,53.22,54.3,53.22,53.95,9618200
2015-11-20,54.0,54.19,53.55,53.6,4915900
2015-11-23,53.92,55.29,53.2,54.88,11117200
2015-11-24,54.98,55.32,52.21,53.2,12210000
2015-11-25,53.19,54.95,53.15,54.46,9946000
2015-11-26,54.7,55.1,54.03,54.56,4843300
2015-11-27,54.18,54.55,52.67,52.72,5656400
2015-11-30,52.8,53.0,51.02,52.18,15713000
2015-12-01,52.32,52.38,51.1,51.49,7172900
2015-12-02,51.85,52.1,51.1,51.55,4847900
2015-12-03,51.3,52.34,51.17,51.97,3786100
2015-12-04,51.91,52.5,51.0,52.13,6128600
2015-12-07,52.15,52.15,50.3,50.5,8688200
2015-12-08,50.19,50.48,48.56,48.96,10372200
2015-12-09,49.15,50.29,48.42,49.8,6574400
2015-12-10,49.5,50.17,48.83,49.55,4540600
2015-12-11,49.55,51.03,49.55,50.5,6877400
2015-12-14,50.6,53.33,50.43,53.28,18886400
2015-12-15,53.4,56.25,53.05,56.0,26524400
2015-12-16,56.14,57.6,54.61,55.73,19878100
2015-12-17,56.0,56.74,55.11,56.74,11117300
2015-12-18,56.69,57.7,54.9,57.6,17296100
2015-12-21,57.7,57.87,56.66,56.92,5963900
2015-12-22,57.2,57.38,55.56,56.99,6541100
2015-12-23,57.0,57.45,55.9,57.35,3967600
2015-12-24,57.4,57.75,56.8,57.02,3875100
