timestamp,open,high,low,close,volume
2015-06-09,75.45,75.45,73.51,74.03,1740640
2015-06-10,74.25,74.58,71.61,72.34,3426150
2015-06-11,72.5,73.81,71.7,72.8,4231830
2015-06-15,70.59,72.45,70.32,71.79,4540250
2015-06-16,71.9,72.27,71.16,71.95,1393040
2015-06-17,71.9,72.62,71.4,71.9,1473040
2015-06-18,71.9,72.49,71.5,72.2,1042170
2015-06-19,72.48,73.48,72.2,73.45,2411880
2015-06-22,73.27,75.19,73.06,73.22,4442900
2015-06-23,73.75,75.28,73.25,75.0,5421990
2015-06-24,74.8,75.3,74.11,74.52,2655780
2015-06-25,74.23,74.99,73.53,74.07,1375450
2015-06-26,73.99,74.99,73.68,74.2,1340800
2015-06-29,73.88,75.8,73.7,75.15,1874710
2015-06-30,75.27,75.7,74.17,74.69,1774170
2015-07-01,74.84,75.6,74.14,74.48,1509100
2015-07-02,74.7,75.2,74.22,74.64,1277160
2015-07-03,74.84,75.2,74.23,74.5,1219830
2015-07-06,74.41,75.29,73.97,75.1,1649560
2015-07-07,75.16,75.48,73.52,73.85,2525760
2015-07-08,74.0,74.25,71.83,74.2,2796930
2015-07-09,74.24,77.8,73.74,77.5,3628380
2015-07-10,77.55,78.08,76.26,76.45,3137690
2015-07-13,76.62,79.57,76.62,78.83,3988310
2015-07-14,78.83,79.68,78.23,79.25,2863950
2015-07-15,78.94,79.22,77.64,77.86,2634790
2015-07-16,78.1,79.35,77.52,77.74,1518700
2015-07-17,77.72,78.25,76.17,76.58,2321030
2015-07-20,76.16,77.57,76.16,77.02,1616220
2015-07-21,76.99,77.0,76.01,76.1,1412590
2015-07-22,75.98,76.46,74.99,75.69,2363120
2015-07-23,75.99,76.45,75.19,76.35,1304360
2015-07-24,75.73,78.33,75.73,77.9,2326160
2015-07-27,77.76,79.62,77.51,79.5,2221950
2015-07-28,79.18,80.65,79.04,80.22,3137980
2015-07-29,80.2,80.2,77.32,77.78,2943040
2015-07-30,77.98,79.79,77.19,79.12,1857650
2015-07-31,79.12,79.95,78.53,79.22,2354890
2015-08-03,79.3,81.34,79.3,80.17,2912530
2015-08-04,80.17,81.98,79.13,79.68,2920670
2015-08-05,80.3,80.73,78.6,78.8,2364930
2015-08-06,79.4,80.68,79.1,79.79,2041670
2015-08-07,79.49,80.25,79.3,79.94,996870
2015-08-10,80.09,80.53,79.69,80.43,1030140
2015-08-11,80.41,83.64,80.17,83.21,2859180
2015-08-12,83.0,83.99,81.96,82.45,2659060
2015-08-13,82.7,84.8,82.45,84.8,2433290
2015-08-14,84.5,85.5,83.86,84.62,1611520
2015-08-17,85.0,85.91,84.25,85.35,1393730
2015-08-18,85.0,85.65,83.73,84.4,1265150
2015-08-19,84.6,85.48,83.97,84.07,1395530
2015-08-20,84.4,86.32,84.4,85.06,2432690
2015-08-21,85.21,85.6,83.5,83.67,1522860
2015-08-24,83.35,84.98,80.37,82.39,3125800
2015-08-25,82.2,83.26,79.0,79.75,3042560
2015-08-26,80.0,80.6,77.84,79.11,2227650
2015-08-27,79.34,79.67,77.5,78.2,3515700
2015-08-28,78.54,79.31,77.16,78.62,2597790
2015-08-31,78.8,81.0,78.75,80.64,1873620
2015-09-01,80.5,80.83,78.23,78.6,2252370
2015-09-02,79.46,80.1,78.06,79.39,2292050
2015-09-03,79.85,79.85,78.01,78.56,2375670
2015-09-04,78.87,78.95,77.0,77.3,1815490
2015-09-07,77.5,78.7,77.23,78.25,1044360
2015-09-08,78.4,81.29,78.3,79.26,3572010
2015-09-09,79.6,81.17,79.2,80.2,3227780
2015-09-10,80.2,81.4,79.76,79.89,1709230
2015-09-11,80.47,80.73,79.06,79.95,950560
2015-09-14,80.08,81.5,80.0,80.3,1582800
2015-09-15,80.5,81.18,79.76,81.05,1616030
2015-09-16,81.27,81.9,80.08,81.46,1706490
2015-09-17,81.67,82.64,81.09,82.2,919610
2015-09-18,82.84,83.0,81.21,82.31,1520510
2015-09-21,81.82,82.04,80.44,80.55,1105620
2015-09-22,80.77,80.95,77.03,77.43,2842810
2015-09-23,77.42,77.98,73.7,74.7,3927310
2015-09-24,74.99,76.9,74.52,75.58,2485760
2015-09-25,76.0,76.38,73.65,74.14,2346750
2015-09-28,74.37,74.52,70.71,70.71,3543770
2015-09-29,70.78,72.95,68.52,72.63,3878420
2015-09-30,72.7,75.44,72.7,75.06,2029840
2015-10-01,74.7,75.05,72.55,72.92,1845440
2015-10-02,73.0,73.52,69.35,69.9,3884250
2015-10-05,70.58,72.42,69.97,70.42,3453880
2015-10-06,70.88,70.88,69.34,70.09,3124890
2015-10-07,70.1,71.85,69.75,70.32,2567420
2015-10-08,70.75,73.37,70.02,72.75,3883610
2015-10-09,72.27,73.2,71.9,72.7,2836920
2015-10-12,73.0,73.2,71.41,72.1,1921510
2015-10-13,72.1,73.35,72.01,72.69,1499910
2015-10-14,72.51,73.6,72.21,72.92,1937720
2015-10-15,73.1,76.1,72.98,74.9,3656450
2015-10-16,75.0,76.28,72.21,72.8,3365960
2015-10-19,72.89,74.87,72.63,74.75,2594820
2015-10-20,74.8,75.27,73.57,74.7,1894070
2015-10-21,74.55,74.93,73.53,74.47,1968480
2015-10-22,74.72,74.72,72.55,73.1,1856940
2015-10-23,73.18,73.94,72.6,73.02,1899730
2015-10-26,72.94,73.69,70.95,71.2,2365490
2015-10-27,71.27,74.14,70.96,73.68,5120690
2015-10-28,73.76,75.05,73.05,74.39,3661120
2015-10-29,74.2,76.51,73.87,76.1,3711660
2015-10-30,76.19,78.99,75.11,78.2,3772830
2015-11-02,78.1,78.5,76.52,77.8,1813190
2015-11-03,77.66,79.47,77.32,77.75,3759580
