timestamp,open,high,low,close,volume
2015-01-16,56.27,56.27,55.3,55.3,156200
2015-01-19,55.31,55.77,54.92,55.16,385700
2015-01-20,55.2,55.99,54.22,54.95,420000
2015-01-21,55.19,55.19,54.8,54.99,559200
2015-01-22,55.09,57.7,54.98,56.4,1084800
2015-01-23,56.78,58.17,56.71,57.0,679300
2015-01-26,56.58,56.58,55.15,55.2,196500
2015-01-27,55.0,56.03,54.3,55.89,305300
2015-01-28,56.45,57.29,56.05,56.05,207700
2015-01-29,55.94,56.23,55.35,56.06,155200
2015-01-30,56.0,56.45,55.72,55.99,668800
2015-02-02,56.98,56.98,54.6,55.21,440500
2015-02-03,56.04,56.5,55.55,56.0,180400
2015-02-04,56.67,57.3,55.8,56.75,659800
2015-02-05,56.68,58.5,56.06,57.51,347500
2015-02-06,57.97,58.41,57.63,58.15,262200
2015-02-09,58.13,60.55,57.0,58.13,951800
2015-02-10,57.73,59.1,57.72,58.97,305500
2015-02-11,59.2,60.39,59.01,60.04,299400
2015-02-12,60.39,61.2,59.68,61.0,316000
2015-02-13,61.5,62.6,61.03,61.95,484500
2015-02-16,61.55,62.65,60.9,61.64,211500
2015-02-17,61.02,61.99,61.0,61.52,83600
2015-02-18,62.25,62.25,60.2,61.5,411000
2015-02-19,61.27,61.82,60.27,61.35,225800
2015-02-20,61.88,62.02,61.45,61.66,188700
2015-02-24,60.52,61.18,60.44,60.88,220500
2015-02-25,61.4,61.4,59.2,59.4,194300
2015-02-26,60.59,60.77,59.64,60.37,100800
2015-02-27,59.9,61.2,59.72,61.1,146100
2015-03-02,61.23,62.36,61.12,61.37,120800
2015-03-03,61.49,63.41,61.19,63.2,255200
2015-03-04,63.66,64.2,62.35,62.43,593100
2015-03-05,62.42,63.21,61.0,61.96,293700
2015-03-06,62.41,63.74,61.75,61.97,391400
2015-03-10,61.5,61.75,60.0,61.0,163000
2015-03-11,61.01,61.7,60.52,61.13,72600
2015-03-12,62.79,62.79,60.21,60.69,53000
2015-03-13,60.4,60.81,59.3,59.6,121300
2015-03-16,59.26,59.69,58.65,59.24,132300
2015-03-17,59.32,59.75,57.88,58.07,189100
2015-03-18,57.95,58.98,57.95,58.54,66200
2015-03-19,58.97,59.09,58.09,58.21,49600
2015-03-20,58.64,58.64,57.11,57.76,141400
2015-03-23,57.76,57.76,56.39,56.67,155200
2015-03-24,56.63,58.98,56.5,58.98,267700
2015-03-25,58.9,59.31,58.29,58.68,192500
2015-03-26,58.55,58.76,57.38,57.5,98300
2015-03-27,57.36,57.98,56.55,56.55,146900
2015-03-30,56.73,57.42,56.55,57.4,51000
2015-03-31,56.92,58.8,56.6,58.0,296700
2015-04-01,57.95,58.8,57.55,58.78,130000
2015-04-02,58.9,59.44,58.06,59.0,171200
2015-04-03,59.0,59.23,58.66,58.98,146000
2015-04-06,59.22,59.3,58.88,58.92,219400
2015-04-07,59.1,59.6,58.76,58.9,173400
2015-04-08,59.0,59.0,58.1,58.6,217800
2015-04-09,58.28,58.55,57.55,57.67,161600
2015-04-10,57.62,58.19,57.1,58.19,78900
2015-04-13,57.5,59.74,57.5,59.3,212000
2015-04-14,59.18,59.3,58.75,58.91,87400
2015-04-15,58.98,59.41,58.9,59.27,55300
2015-04-16,59.8,59.8,58.84,59.27,99100
2015-04-17,59.14,59.81,58.58,58.71,196200
2015-04-20,58.47,59.2,56.41,57.21,910600
2015-04-21,57.36,57.94,57.29,57.91,114200
2015-04-22,57.94,58.34,57.92,58.22,212600
2015-04-23,55.0,58.18,55.0,57.95,251800
2015-04-24,57.76,58.99,57.55,58.85,151500
2015-04-27,58.92,59.07,58.61,58.92,106000
2015-04-28,58.66,58.95,58.29,58.55,124900
2015-04-29,58.36,58.9,58.25,58.65,34200
2015-04-30,58.3,58.79,58.3,58.76,162300
2015-05-05,58.96,59.14,58.49,58.94,369000
2015-05-06,58.58,58.74,58.33,58.4,258700
2015-05-07,58.4,58.44,57.83,57.87,212000
2015-05-08,58.01,58.01,57.83,58.01,113600
2015-05-12,58.0,58.16,57.87,58.0,327800
2015-05-13,58.0,58.0,57.45,57.5,300300
2015-05-14,57.55,57.63,57.36,57.63,54400
2015-05-15,57.55,57.75,57.51,57.67,32600
2015-05-18,58.0,58.0,57.58,57.94,122300
2015-05-19,57.99,58.0,57.2,57.35,121000
2015-05-20,57.27,57.73,57.01,57.46,94200
2015-05-21,57.91,57.91,57.21,57.39,41500
2015-05-22,57.39,57.7,56.6,56.7,276000
2015-05-25,57.0,57.0,56.5,56.92,51400
2015-05-26,56.74,57.03,56.63,57.0,49800
2015-05-27,56.93,58.0,56.75,58.0,116000
2015-05-28,58.15,58.18,57.79,57.9,141300
2015-05-29,57.9,58.06,57.54,57.73,107100
2015-06-01,58.0,58.1,57.75,58.0,525400
2015-06-02,58.07,59.35,57.8,59.2,1816600
2015-06-03,59.49,60.52,58.95,59.9,782200
2015-06-04,59.79,60.19,59.1,60.0,780000
2015-06-05,59.81,61.19,59.81,61.04,665800
2015-06-08,61.19,62.5,60.37,62.5,629000
2015-06-09,62.49,66.22,62.0,65.67,4075000
2015-06-10,65.1,67.1,64.72,65.84,1523200
2015-06-11,66.0,66.0,63.8,64.14,333200
2015-06-15,64.14,64.81,62.97,64.75,182400
2015-06-16,64.36,64.84,64.0,64.2,111500
2015-06-17,64.99,64.99,62.55,63.28,109400
2015-06-18,63.5,64.6,63.0,63.39,177900
2015-06-19,63.03,63.79,62.52,63.08,107400
2015-06-22,63.5,63.66,63.01,63.2,70000
2015-06-23,63.3,63.51,63.0,63.15,60200
2015-06-24,63.16,63.4,63.0,63.2,24400
2015-06-25,63.05,63.47,63.0,63.07,34300
2015-06-26,63.33,63.42,62.75,62.75,426300
2015-06-29,62.72,63.2,62.5,63.09,222800
2015-06-30,62.84,63.35,62.69,63.0,151200
2015-07-01,63.1,63.78,63.0,63.5,579900
2015-07-02,59.5,62.49,59.5,59.99,1072600
2015-07-03,59.51,60.18,58.14,59.05,235100
2015-07-06,58.6,58.6,57.44,58.0,207600
2015-07-07,57.83,58.35,57.8,58.04,178500
2015-07-08,57.79,58.44,57.4,57.8,380800
2015-07-09,57.8,58.03,57.53,57.77,184400
2015-07-10,57.97,58.0,57.51,57.59,245400
2015-07-13,57.6,57.8,56.51,57.6,148400
2015-07-14,57.51,58.13,57.17,57.42,199400
2015-07-15,57.18,57.42,56.9,57.05,118400
2015-07-16,57.46,57.46,56.81,56.92,112000
2015-07-17,57.15,57.5,57.0,57.1,37000
2015-07-20,57.11,57.11,56.3,56.4,136400
2015-07-21,56.4,56.49,56.24,56.3,168500
2015-07-22,56.28,56.64,55.92,56.0,94700
2015-07-23,56.01,56.93,55.98,56.3,161900
2015-07-24,56.25,56.33,55.73,55.73,187200
2015-07-27,55.9,56.39,55.55,55.6,254000
2015-07-28,55.62,55.62,55.16,55.28,271500
2015-07-29,55.19,55.5,54.95,55.25,210100
2015-07-30,55.24,55.93,55.15,55.3,542900
2015-07-31,55.33,55.65,55.15,55.5,241600
2015-08-03,55.7,55.9,54.9,55.3,226500
2015-08-04,55.2,56.0,55.1,55.6,158000
2015-08-05,55.5,57.0,55.4,56.0,588100
2015-08-06,56.2,56.5,55.8,55.9,237800
2015-08-07,56.0,56.5,55.5,55.5,253000
2015-08-10,55.6,56.2,55.4,55.8,681800
2015-08-11,55.8,56.5,55.7,56.5,1478200
2015-08-12,56.2,57.2,56.1,57.0,381600
2015-08-13,57.0,57.9,57.0,57.6,851500
2015-08-14,57.7,58.3,57.5,57.5,326600
2015-08-17,57.4,57.9,57.0,57.2,78100
2015-08-18,57.0,57.5,56.8,57.0,131200
2015-08-19,56.7,56.8,56.0,56.0,320100
2015-08-20,56.1,56.6,56.0,56.2,116800
2015-08-21,56.2,56.3,55.6,55.9,197400
2015-08-24,55.5,55.9,54.8,55.0,582800
2015-08-25,55.2,55.9,55.2,55.7,172400
2015-08-26,55.4,56.0,55.3,55.8,110700
2015-08-27,55.9,56.7,55.8,56.6,159000
2015-08-28,56.7,57.0,56.3,56.9,373500
2015-08-31,56.9,56.9,56.3,56.7,54500
2015-09-01,56.7,57.1,56.3,56.6,233100
2015-09-02,56.3,57.1,56.1,56.5,82500
2015-09-03,56.8,56.9,56.5,56.6,57000
2015-09-04,56.6,56.8,56.3,56.3,29100
2015-09-07,56.9,56.9,55.8,55.8,90500
2015-09-08,56.0,56.9,56.0,56.5,166000
2015-09-09,56.7,56.8,56.4,56.6,151900
2015-09-10,56.4,57.7,56.2,57.6,496800
2015-09-11,57.6,58.6,57.1,57.6,682400
2015-09-14,57.9,61.6,57.4,59.8,2162100
2015-09-15,59.8,60.5,58.6,59.2,888500
2015-09-16,59.2,59.7,58.8,59.2,652400
2015-09-17,58.9,59.6,58.1,59.1,927000
2015-09-18,59.0,59.6,58.3,59.1,808800
2015-09-21,58.8,59.7,58.6,59.4,237700
2015-09-22,59.3,59.5,58.5,59.0,168000
2015-09-23,58.8,59.1,58.5,59.0,344800
2015-09-24,59.1,59.9,58.3,59.4,232900
2015-09-25,59.5,59.5,58.9,59.0,712700
2015-09-28,59.0,59.2,55.0,57.8,1920100
2015-09-29,57.5,57.9,56.4,57.9,222700
2015-09-30,57.9,58.0,57.3,57.5,91900
2015-10-01,57.2,58.4,57.2,58.1,165800
2015-10-02,58.1,58.3,57.4,58.0,136300
2015-10-05,58.0,59.5,58.0,59.4,266000
2015-10-06,59.5,59.5,58.5,59.1,347000
2015-10-07,59.2,59.2,58.5,58.6,71800
2015-10-08,58.6,59.3,58.0,58.0,137600
2015-10-09,58.4,58.5,57.5,58.0,186900
2015-10-12,58.0,59.5,57.8,58.1,192200
2015-10-13,58.0,58.5,58.0,58.5,46800
2015-10-14,58.5,58.6,58.0,58.2,132600
2015-10-15,58.2,58.7,57.8,58.3,97500
2015-10-16,58.5,59.1,58.3,58.8,171200
2015-10-19,58.8,59.1,58.5,59.1,107800
2015-10-20,59.1,59.2,58.7,58.9,67200
2015-10-21,59.1,59.2,58.6,59.1,105200
2015-10-22,58.7,59.1,58.7,59.0,148100
2015-10-23,59.1,62.8,58.7,62.8,679600
2015-10-26,62.0,63.1,60.4,62.0,482100
2015-10-27,61.5,61.5,60.2,61.3,96100
2015-10-28,60.6,61.6,60.6,61.5,180500
2015-10-29,61.5,61.7,60.8,61.1,65500
2015-10-30,60.8,61.9,60.8,61.3,93200
2015-11-02,61.1,61.75,60.5,61.6,53100
2015-11-03,61.55,62.05,61.1,61.95,96200
2015-11-05,62.3,63.5,62.1,63.5,357200
2015-11-06,63.2,63.4,62.05,62.5,212800
2015-11-09,62.75,63.6,62.7,62.7,98500
2015-11-10,62.55,62.75,61.7,62.35,98500
2015-11-11,62.5,62.5,61.2,61.35,55600
2015-11-12,61.1,61.5,60.55,60.55,184100
2015-11-13,60.3,60.45,59.8,59.95,100000
2015-11-16,59.9,60.95,59.6,60.5,78200
2015-11-17,60.1,62.8,60.1,62.25,178600
2015-11-18,62.8,64.4,62.6,63.95,996600
2015-11-19,63.95,64.0,62.55,62.55,422500
2015-11-20,62.55,63.6,62.1,62.95,93000
2015-11-23,63.3,64.5,62.6,64.5,269400
