ticker,pnl_RUB,pnl_pct_100k,trades,maxDD_pct,long_pnl,short_pnl,long_n,short_n
MVID,272266.72,272.27,253,-47.16,111633.90,160632.83,127,126
POLY,253255.37,253.26,200,-48.66,109888.73,143366.64,98,102
CHMF,235144.31,235.14,217,-47.03,94426.72,140717.58,113,104
BSPB,230678.09,230.68,264,-41.47,173808.48,56869.61,146,118
TGKA,207200.29,207.20,277,-33.14,67915.87,139284.41,138,139
PIKK,206924.95,206.92,246,-72.75,159778.78,47146.17,139,107
ALRS,173290.81,173.29,244,-34.78,15868.79,157422.02,116,128
RTKMP,133009.31,133.01,146,-24.75,72198.29,60811.02,75,71
SIBN,130843.38,130.84,277,-27.29,126594.96,4248.42,149,128
SNGSP,129786.25,129.79,234,-34.56,127014.55,2771.69,131,103
MGNT,128278.87,128.28,226,-30.65,-10236.56,138515.44,107,119
GAZP,126788.09,126.79,250,-50.56,39049.84,87738.25,128,122
PLZL,126013.68,126.01,259,-27.89,129265.10,-3251.43,145,114
POSI,113864.84,113.86,69,-34.52,16784.66,97080.18,30,39
VKCO,111591.95,111.59,66,-29.25,-15062.93,126654.88,26,40
SBER,104376.81,104.38,281,-39.57,99496.97,4879.85,153,128
MOEX,103057.36,103.06,248,-54.09,69383.42,33673.94,133,115
NLMK,99159.08,99.16,276,-59.53,42513.83,56645.25,144,132
MTSS,93036.24,93.04,222,-29.03,67122.90,25913.34,109,113
RUAL,92748.84,92.75,293,-46.16,70354.73,22394.11,155,138
SMLT,90810.13,90.81,57,-42.09,-62298.39,153108.51,20,37
IMOEX,89566.69,89.57,237,-33.75,56303.63,33263.06,121,116
OGKB,87187.78,87.19,275,-33.17,7933.75,79254.03,140,135
TRNFP,75095.92,75.10,230,-40.59,26284.01,48811.91,118,112
MAGN,66971.38,66.97,247,-50.73,-17639.50,84610.88,127,120
SBERP,65405.22,65.41,237,-30.18,63128.10,2277.12,125,112
ROSN,62004.31,62.00,248,-37.88,47288.80,14715.51,126,122
LKOH,59468.79,59.47,237,-37.19,56988.58,2480.21,124,113
MRKC,57553.87,57.55,307,-50.78,90672.38,-33118.51,162,145
GMKN,55755.00,55.76,285,-59.53,36940.70,18814.30,149,136
AFLT,51709.75,51.71,271,-49.26,-16576.91,68286.66,138,133
TATN,46889.19,46.89,257,-70.89,50420.78,-3531.59,135,122
NVTK,42875.84,42.88,254,-45.28,33312.30,9563.54,137,117
VTBR,30062.57,30.06,296,-34.60,-24788.08,54850.65,148,148
FEES,23613.45,23.61,243,-73.57,-73321.77,96935.22,119,124
CBOM,2654.99,2.65,192,-44.09,46563.24,-43908.25,98,94
SNGS,-11549.81,-11.55,247,-94.01,-40269.58,28719.77,124,123
KMAZ,-35015.87,-35.02,267,-113.66,-39104.18,4088.31,136,131
HYDR,-70163.44,-70.16,213,-137.05,-87152.10,16988.66,96,117
IRAO,-76197.52,-76.20,254,-99.25,-55994.29,-20203.23,126,128
