year,pnl_RUB,pnl_pct,trades,win_pct,avg_trade,profit_factor,partial,IMOEX_pct
2017,-57149.75,-1.43,570,38.07,-100.26,0.95,False,-2.33
2018,-298197.51,-7.45,885,35.71,-336.95,0.85,False,11.79
2019,134170.96,3.35,848,40.21,158.22,1.09,False,29.14
2020,802456.65,20.06,1089,42.06,736.87,1.34,False,7.98
2021,153492.72,3.84,1050,39.62,146.18,1.07,False,15.15
2022,1026086.40,25.65,1082,43.72,948.32,1.35,False,-43.12
2023,451491.20,11.29,1063,42.43,424.73,1.20,False,43.87
2024,193100.82,4.83,1164,39.43,165.89,1.07,False,-6.97
2025,482495.97,12.06,1098,39.53,439.43,1.18,False,-4.04
2026,898066.02,22.45,553,50.27,1623.99,1.76,True,-23.56
