exit_time,pnl
2017-01-20,-5763
2017-01-24,-9492
2017-01-25,-4035
2017-01-26,7423
2017-01-27,-5491
2017-02-01,7762
2017-02-02,-841
2017-02-03,-450
2017-02-08,-8338
2017-02-09,10393
2017-02-10,-6179
2017-02-13,-3769
2017-02-14,-6054
2017-02-15,5597
2017-02-16,307
2017-02-17,9650
2017-02-20,-7955
2017-02-24,-4272
2017-02-27,33938
2017-02-28,5081
2017-03-01,2375
2017-03-02,-6809
2017-03-03,-8205
2017-03-07,15796
2017-03-09,23342
2017-03-13,-2856
2017-03-15,4131
2017-03-17,-14707
2017-03-20,-13691
2017-03-21,-11813
2017-03-24,515
2017-03-27,1286
2017-03-28,-4665
2017-03-29,-2434
2017-03-30,-6366
2017-03-31,390
2017-04-03,236
2017-04-04,-7703
2017-04-06,-4607
2017-04-07,1074
2017-04-10,-27720
2017-04-12,-4796
2017-04-13,-12497
2017-04-14,-759
2017-04-19,-901
2017-04-20,8226
2017-04-24,-2863
2017-04-25,-2955
2017-04-26,-5754
2017-04-27,-8998
2017-04-28,-3380
2017-05-02,-1163
2017-05-03,5855
2017-05-04,-350
2017-05-05,-1250
2017-05-11,-2205
2017-05-12,-4793
2017-05-15,-19659
2017-05-16,-7308
2017-05-17,7871
2017-05-19,-1349
2017-05-22,3126
2017-05-25,-8346
2017-05-26,5091
2017-05-29,-13527
2017-05-31,-2947
2017-06-01,-8564
2017-06-02,-4763
2017-06-05,-3087
2017-06-09,-2048
2017-06-13,645
2017-06-14,-6770
2017-06-15,19051
2017-06-19,22885
2017-06-20,-8989
2017-06-21,-11257
2017-06-22,-20540
2017-06-23,-6909
2017-06-26,-3713
2017-06-27,-12639
2017-06-28,-4206
2017-06-29,-4380
2017-06-30,463
2017-07-03,11644
2017-07-04,13147
2017-07-05,13240
2017-07-06,12052
2017-07-10,-2753
2017-07-11,4960
2017-07-12,549
2017-07-13,5023
2017-07-14,14305
2017-07-17,4638
2017-07-18,3486
2017-07-19,-21024
2017-07-20,477
2017-07-21,-2769
2017-07-24,-6135
2017-07-25,-12966
2017-07-26,14940
2017-07-27,-4389
2017-07-28,-13424
2017-07-31,6506
2017-08-01,-2303
2017-08-02,-12449
2017-08-03,22662
2017-08-04,-4109
2017-08-07,-7210
2017-08-08,16590
2017-08-09,11484
2017-08-10,-6917
2017-08-11,-13428
2017-08-14,-4869
2017-08-15,-5115
2017-08-16,-4052
2017-08-17,4084
2017-08-18,-1454
2017-08-21,-5583
2017-08-22,-5955
2017-08-23,4804
2017-08-24,9269
2017-08-25,-3270
2017-08-28,1454
2017-08-29,-5249
2017-08-30,2963
2017-08-31,31603
2017-09-01,11536
2017-09-04,-12063
2017-09-05,-13623
2017-09-06,-3930
2017-09-07,11648
2017-09-08,6848
2017-09-11,1700
2017-09-12,-4758
2017-09-13,-750
2017-09-14,-2527
2017-09-15,-2213
2017-09-18,-4278
2017-09-19,-3877
2017-09-20,855
2017-09-21,9893
2017-09-22,-9756
2017-09-25,1558
2017-09-26,-5005
2017-09-27,-7114
2017-09-28,-3628
2017-09-29,6726
2017-10-02,-1189
2017-10-03,7146
2017-10-04,-12030
2017-10-05,-5086
2017-10-06,18659
2017-10-10,-9120
2017-10-11,-312
2017-10-12,-5148
2017-10-13,12619
2017-10-16,10658
2017-10-17,587
2017-10-18,3433
2017-10-19,-1960
2017-10-20,756
2017-10-23,2519
2017-10-24,-7359
2017-10-25,-11766
2017-10-26,6460
2017-10-27,6483
2017-10-30,-6548
2017-10-31,4304
2017-11-01,7963
2017-11-02,8952
2017-11-03,-1546
2017-11-07,27794
2017-11-08,15305
2017-11-09,11704
2017-11-10,-1704
2017-11-13,-3270
2017-11-14,14242
2017-11-15,-5744
2017-11-16,-6580
2017-11-17,-13189
2017-11-20,-3393
2017-11-21,-10158
2017-11-22,6576
2017-11-23,-3113
2017-11-24,-7899
2017-11-28,4537
2017-11-29,-4467
2017-11-30,12168
2017-12-01,-3932
2017-12-04,-21680
