year,short_pnl,long_pnl,short_pct,long_pct,short_n,long_n
2017,-76889.03,19739.28,-1.92,0.49,262,308
2018,-132301.62,-165895.89,-3.31,-4.15,439,446
2019,-222972.18,357143.14,-5.57,8.93,362,486
2020,162892.73,639563.92,4.07,15.99,507,582
2021,-13351.20,166843.93,-0.33,4.17,479,571
2022,992536.87,33549.53,24.81,0.84,611,471
2023,-350287.07,801778.27,-8.76,20.04,409,654
2024,522582.88,-329482.05,13.06,-8.24,632,532
2025,349476.18,133019.79,8.74,3.33,547,551
2026,887833.43,10232.59,22.20,0.26,323,230
